bid_id,tender_id,vendor_id,bid_amount,is_winner
T00000-B0,T00000,V0162,39829.88,False
T00000-B1,T00000,V0184,43692.21,False
T00000-B2,T00000,V0082,38141.4,True
T00001-B0,T00001,V0176,6572.95,False
T00001-B1,T00001,V0031,6515.53,True
T00001-B2,T00001,V0000,6887.42,False
T00001-B3,T00001,V0019,6798.01,False
T00002-B0,T00002,V0036,7108.21,False
T00002-B1,T00002,V0120,6756.52,True
T00003-B0,T00003,V0033,21601.65,True
T00004-B0,T00004,V0091,34192.95,False
T00004-B1,T00004,V0043,42720.21,False
T00004-B2,T00004,V0151,35931.78,False
T00004-B3,T00004,V0068,27000.0,True
T00004-B4,T00004,V0044,37220.02,False
T00005-B0,T00005,V0251,11498.48,True
T00005-B1,T00005,V0029,13440.6,False
T00005-B2,T00005,V0136,13319.94,False
T00006-B0,T00006,V0293,6912.46,True
T00006-B1,T00006,V0192,8701.17,False
T00006-B2,T00006,V0296,8419.04,False
T00006-B3,T00006,V0264,7491.79,False
T00006-B4,T00006,V0020,7254.24,False
T00006-B5,T00006,V0154,7374.79,False
T00007-B0,T00007,V0040,10380.39,True
T00007-B1,T00007,V0225,10918.46,False
T00007-B2,T00007,V0069,12458.13,False
T00008-B0,T00008,V0191,19274.84,False
T00008-B1,T00008,V0179,16145.22,True
T00009-B0,T00009,V0163,3670.99,True
T00009-B1,T00009,V0019,3933.58,False
T00009-B2,T00009,V0117,3740.36,False
T00009-B3,T00009,V0065,4899.44,False
T00009-B4,T00009,V0218,3947.65,False
T00009-B5,T00009,V0045,4598.92,False
T00010-B0,T00010,V0041,155636.8,False
T00010-B1,T00010,V0116,119515.4,False
T00010-B2,T00010,V0211,115984.86,False
T00010-B3,T00010,V0272,110000.0,True
T00010-B4,T00010,V0299,154893.19,False
T00010-B5,T00010,V0025,135905.88,False
T00011-B0,T00011,V0257,5036.5,False
T00011-B1,T00011,V0016,4430.53,True
T00012-B0,T00012,V0149,145602.42,False
T00012-B1,T00012,V0250,111604.88,True
T00012-B2,T00012,V0102,123099.39,False
T00013-B0,T00013,V0095,26110.04,False
T00013-B1,T00013,V0052,25162.55,True
T00013-B2,T00013,V0290,26869.74,False
T00014-B0,T00014,V0126,2765.27,True
T00015-B0,T00015,V0073,56003.95,False
T00015-B1,T00015,V0068,53907.15,False
T00015-B2,T00015,V0292,44444.86,True
T00016-B0,T00016,V0082,92000.0,True
T00017-B0,T00017,V0076,5526.81,False
T00017-B1,T00017,V0017,5781.8,False
T00017-B2,T00017,V0060,4691.49,False
T00017-B3,T00017,V0071,5126.76,False
T00017-B4,T00017,V0110,4246.0,True
T00017-B5,T00017,V0239,4485.4,False
T00017-B6,T00017,V0225,5669.12,False
T00018-B0,T00018,V0257,33900.92,False
T00018-B1,T00018,V0168,34731.49,False
T00018-B2,T00018,V0142,28000.0,True
T00019-B0,T00019,V0239,26001.64,True
T00019-B1,T00019,V0148,27430.75,False
T00020-B0,T00020,V0205,189061.96,False
