tender_id,vendor_id,employee_id,amount,n_bidders,log_amount,amount_over_limit,headroom_to_limit,is_round,days_to_invoice,days_to_payment,award_method_code,category_code,department_code,amount_z_in_category,amount_vs_cat_median,vendor_age_days,vendor_n_tenders,vendor_mean_amount,vendor_n_buyers,is_vendors_first_award,days_reg_to_first_award,buyer_n_tenders,buyer_mean_amount,buyer_n_vendors,pair_n_tenders,buyer_exclusivity,pair_share_of_buyer,bid_cv,bid_spread,winner_margin,n_rules_triggered,rule_po_splitting,rule_duplicate_invoice,rule_thin_competition,rule_round_near_threshold,rule_vendor_concentration,rule_new_vendor_large_first,g_direct_shared_ids,g_hops_to_buyer,g_reachable_within_2_hops,g_vendor_emp_degree,g_identity_component_size,g_cobid_min_affinity,g_cobid_mean_affinity,g_jaccard_mean,g_ring_score,g_ring_win_evenness,g_bidders_in_ring
T00000,V0082,E0040,38141.4,3,10.549081803236525,1.5256560000000001,-0.525656,0,32,49,1,1,2,-0.6619242100882392,0.33866488976236486,195,15,224075.5213333333,12,0,-136,59,58718.452542372885,51,2,0.13333333333333333,0.03753893435802974,0.0701639992456881,0.13687286136539395,0.04426895709124458,0,0,0,0,0,0,0,0,0,0,0,1,0.15789473684210525,0.2326315789473684,0.12431637954607601,0.0,0.0,0.0
T00001,V0031,E0028,6515.53,4,8.782097304658482,0.2606212,0.7393788,0,37,42,1,8,5,-0.43955888756081746,0.5321580254173609,-24,15,30302.547333333332,13,0,-114,51,36970.90843137255,45,1,0.06666666666666667,0.0034555680565227453,0.026548381194846277,0.05556005828061726,0.008812790363945845,0,0,0,0,0,0,0,0,0,0,0,1,0.05128205128205128,0.1346153846153846,0.06761742995703651,0.0,0.0,0.0
T00002,V0120,E0052,6756.52,2,8.818411237820658,0.0675652,0.9324348,0,25,44,0,6,6,-0.24818166737585584,0.6278864780147453,2917,11,55103.070909090915,9,0,2060,51,53695.70392156862,44,1,0.09090909090909091,0.0024672510953061607,0.0358726616206009,0.050731604582274534,0.052051943900114195,0,0,0,0,0,0,0,0,0,0,0,1,0.19047619047619047,0.19047619047619047,0.1,0.0,0.0,0.0
T00003,V0033,E0054,21601.65,1,9.980571271332229,0.8640660000000001,0.13593399999999994,0,28,51,2,7,3,-0.26798041963755637,0.9794157052727985,3276,15,27577.56866666667,13,0,2687,47,37757.88042553191,38,1,0.06666666666666667,0.012172547009744137,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
T00004,V0068,E0017,27000.0,5,10.203629181337648,1.08,-0.08,1,37,45,1,7,2,-0.12111299981005137,1.2241761181375292,2775,12,28599.059999999998,10,0,2721,52,70605.14115384615,45,1,0.08333333333333333,0.007354007948222685,0.16048460118954283,0.4439108110379377,0.26640555555555545,0,0,0,0,0,0,0,0,0,0,0,1,0.03225806451612903,0.13912764757167034,0.0686295439545889,0.0,0.0,0.0
T00005,V0251,E0036,11498.48,3,9.3500570959377,0.4599392,0.5400608,0,29,12,1,7,5,-0.5428470937099403,0.5213394300326674,1565,16,22561.14,12,0,1344,60,38745.801499999994,53,1,0.0625,0.004946118699682425,0.08532307289342696,0.15228722533927952,0.15840876359310108,0,0,0,0,0,0,0,0,0,0,0,1,0.14285714285714285,0.15873015873015875,0.07559702798593543,0.0,0.0,0.0
T00006,V0293,E0028,6912.46,6,8.841225515030493,0.2764984,0.7235016000000001,0,8,32,1,0,5,-0.36345801742704353,0.7320830570906295,693,10,15653.462999999998,10,1,693,51,36970.90843137255,45,1,0.1,0.0036660833375015108,0.09168589365231093,0.23253409438809505,0.04944404741582588,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0.17321839348404813,0.08924163913978758,0.0,0.0,0.0
T00007,V0040,E0041,10380.39,3,9.247770059122567,0.10380389999999999,0.8961961,0,14,30,0,9,0,-0.5985162191407924,0.6031785969128642,1762,11,10627.895454545454,11,0,1384,56,45781.51178571429,54,1,0.09090909090909091,0.004048885672681048,0.0958340231752094,0.1846498116833911,0.05183523933108484,0,0,0,0,0,0,0,0,0,0,0,1,0.175,0.20650406504065041,0.11316796248303097,0.0,0.0,0.0
T00008,V0179,E0008,16145.22,2,9.689441245527933,0.6458088,0.35419120000000004,0,36,16,0,5,5,-0.5617926761383528,0.47896548425064583,3197,14,53784.16285714286,13,0,2713,65,36468.550461538456,53,2,0.14285714285714285,0.013281943610017482,0.12495605736054904,0.1767145510199588,0.19384189252298828,0,0,0,0,0,0,0,0,0,0,0,1,0.11428571428571428,0.11428571428571428,0.05970149253731343,0.0,0.0,0.0
T00009,V0163,E0042,3670.99,6,8.208489028425126,0.00734198,0.99265802,0,34,11,1,8,2,-0.5290030780267699,0.29982929857231533,1662,12,18094.423333333332,12,0,1338,52,51663.375,48,1,0.08333333333333333,0.00136646050588955,0.12083009155413096,0.297314260774299,0.01889680985238324,0,0,0,0,0,0,0,0,0,0,0,1,0.06666666666666667,0.15606727761562525,0.07448841104003587,0.0,0.0,0.0
