tender_id,rule_po_splitting,rule_duplicate_invoice,rule_thin_competition,rule_round_near_threshold,rule_vendor_concentration,rule_new_vendor_large_first,n_rules_triggered,rule_score,rule_reasons
T00000,False,False,False,False,False,False,0,0,
T00001,False,False,False,False,False,False,0,0,
T00002,False,False,False,False,False,False,0,0,
T00003,False,False,False,False,False,False,0,0,
T00004,False,False,False,False,False,False,0,0,
T00005,False,False,False,False,False,False,0,0,
T00006,False,False,False,False,False,False,0,0,
T00007,False,False,False,False,False,False,0,0,
T00008,False,False,False,False,False,False,0,0,
T00009,False,False,False,False,False,False,0,0,
T00010,False,False,False,False,False,False,0,0,
T00011,False,False,False,False,False,False,0,0,
T00012,False,False,False,False,False,False,0,0,
T00013,False,False,False,False,False,False,0,0,
T00014,False,False,False,False,False,False,0,0,
T00015,False,False,False,False,False,False,0,0,
T00016,False,False,True,True,False,False,2,2,"$92,000 awarded via single_source with only 1 bidder(s) | $92,000 is a round number sitting within 15% of the $100,000 limit"
T00017,False,False,False,False,False,False,0,0,
T00018,False,False,False,False,False,False,0,0,
T00019,False,False,False,False,False,False,0,0,
T00020,False,False,False,False,False,False,0,0,
T00021,False,False,False,False,False,False,0,0,
T00022,False,False,False,False,False,False,0,0,
T00023,False,False,True,False,False,False,1,1,"$92,853 awarded via limited_tender with only 2 bidder(s)"
T00024,False,False,False,False,False,False,0,0,
T00025,False,False,False,False,False,False,0,0,
T00026,False,False,False,False,False,False,0,0,
T00027,False,False,False,False,False,False,0,0,
T00028,False,False,False,False,False,False,0,0,
T00029,False,False,False,False,False,False,0,0,
T00030,False,False,False,False,False,False,0,0,
T00031,False,False,False,False,False,False,0,0,
T00032,False,False,False,False,False,False,0,0,
T00033,False,False,False,False,False,False,0,0,
T00034,False,False,False,False,False,False,0,0,
T00035,False,False,False,False,False,False,0,0,
T00037,False,False,False,False,False,False,0,0,
T00038,False,False,False,False,False,False,0,0,
T00039,False,False,False,False,False,False,0,0,
T00040,False,False,False,False,False,False,0,0,
T00041,False,False,False,False,False,False,0,0,
T00042,False,False,True,False,False,False,1,1,"$104,000 awarded via limited_tender with only 2 bidder(s)"
T00043,False,False,False,False,False,False,0,0,
T00044,False,False,False,False,False,False,0,0,
T00045,False,False,False,False,False,False,0,0,
T00046,False,False,False,False,False,False,0,0,
T00047,False,False,False,False,False,False,0,0,
T00048,False,False,False,False,False,False,0,0,
T00049,False,False,False,False,False,False,0,0,
T00050,False,False,False,False,False,False,0,0,
T00051,False,False,False,False,False,False,0,0,
T00052,False,False,False,False,False,False,0,0,
T00053,False,False,False,False,False,False,0,0,
T00054,False,False,False,False,False,False,0,0,
T00055,False,False,False,False,False,False,0,0,
T00056,False,False,False,False,False,False,0,0,
T00057,False,False,False,False,False,False,0,0,
T00058,False,False,False,False,False,False,0,0,
T00059,False,False,False,False,False,False,0,0,
T00060,False,False,False,False,False,False,0,0,
T00061,False,False,True,False,False,False,1,1,"$257,994 awarded via single_source with only 1 bidder(s)"
T00062,False,False,False,False,False,False,0,0,
T00063,False,False,False,False,False,False,0,0,
T00064,False,False,False,False,False,False,0,0,
T00065,False,False,False,False,False,False,0,0,
T00066,False,False,False,False,False,False,0,0,
T00067,False,False,False,False,False,False,0,0,
T00068,False,False,False,False,False,False,0,0,
T00069,False,False,False,False,False,False,0,0,
T00070,False,False,False,False,True,False,1,1,Vendor V0193 gets 55% of all its work from buyer E0011 alone
T00071,False,False,False,False,False,False,0,0,
T00072,False,False,False,False,False,False,0,0,
T00073,False,False,False,False,False,False,0,0,
T00074,False,False,False,False,False,False,0,0,
T00075,False,False,False,False,False,False,0,0,
T00076,False,False,False,False,False,False,0,0,
T00077,False,False,False,False,False,False,0,0,
T00078,False,False,False,False,False,False,0,0,
T00079,False,False,False,False,True,False,1,1,Vendor V0176 gets 57% of all its work from buyer E0000 alone
T00080,False,False,False,False,False,False,0,0,
T00081,False,False,False,False,False,False,0,0,
T00082,False,False,False,False,False,False,0,0,
T00083,False,False,False,False,False,False,0,0,
T00084,False,False,False,False,False,False,0,0,
T00085,False,False,False,False,False,False,0,0,
T00086,False,False,False,False,False,False,0,0,
T00087,False,False,False,False,False,False,0,0,
T00088,False,False,False,False,False,False,0,0,
T00089,False,False,True,False,False,False,1,1,"$55,955 awarded via limited_tender with only 2 bidder(s)"
T00090,False,False,False,False,False,False,0,0,
T00091,False,False,False,False,False,False,0,0,
T00092,False,False,False,False,False,False,0,0,
T00094,False,False,False,False,False,False,0,0,
T00095,False,False,False,False,False,False,0,0,
T00096,False,False,False,False,False,False,0,0,
T00097,False,False,False,False,True,False,1,1,Vendor V0283 gets 58% of all its work from buyer E0057 alone
T00098,False,False,False,False,False,False,0,0,
T00099,False,False,False,False,False,False,0,0,
T00100,False,False,False,False,False,False,0,0,
T00101,False,False,False,False,False,False,0,0,
T00102,False,False,False,False,False,False,0,0,
T00103,False,False,False,False,False,False,0,0,
T00104,False,False,False,False,False,False,0,0,
T00105,False,False,True,False,False,False,1,1,"$93,807 awarded via single_source with only 1 bidder(s)"
T00106,False,False,True,False,False,False,1,1,"$56,433 awarded via limited_tender with only 2 bidder(s)"
T00107,False,False,False,False,False,False,0,0,
T00108,False,False,False,False,False,False,0,0,
T00109,False,False,False,False,False,False,0,0,
T00110,False,False,False,False,False,False,0,0,
T00111,False,False,False,False,False,False,0,0,
T00112,False,False,False,False,False,False,0,0,
T00113,False,False,False,False,False,False,0,0,
T00114,False,False,False,False,False,False,0,0,
T00115,False,False,False,False,False,False,0,0,
T00116,False,False,False,False,False,False,0,0,
T00117,False,False,False,False,False,False,0,0,
T00118,False,False,False,True,False,False,1,1,"$23,000 is a round number sitting within 15% of the $25,000 limit"
T00119,False,False,False,False,False,False,0,0,
T00120,False,False,False,False,False,False,0,0,
T00121,False,False,False,False,False,False,0,0,
T00122,False,False,False,False,False,False,0,0,
T00123,False,False,False,False,False,False,0,0,
T00124,False,False,False,False,False,False,0,0,
T00125,False,False,False,False,False,False,0,0,
T00126,False,False,False,False,False,False,0,0,
T00127,False,False,False,False,False,False,0,0,
T00128,False,False,False,False,False,False,0,0,
T00129,False,False,False,False,False,False,0,0,
T00130,False,False,False,False,False,False,0,0,
T00131,False,False,False,False,False,False,0,0,
T00132,False,False,False,False,False,False,0,0,
T00133,False,False,False,False,False,False,0,0,
T00134,False,False,False,False,False,False,0,0,
T00135,False,False,False,False,False,False,0,0,
T00136,False,False,False,False,False,False,0,0,
T00137,False,False,False,False,False,False,0,0,
T00138,False,False,False,False,False,False,0,0,
T00139,False,False,False,False,False,False,0,0,
