tender_id,po_id,award_date,vendor_id,employee_id,department,category,award_method,amount,n_bidders,approval_limit,invoice_id,invoice_date,payment_date
T00000,PO00000,2024-07-09,V0082,E0040,IT,Construction,open_tender,38141.4,3,25000,INV00000,2024-08-10,2024-09-28
T00001,PO00001,2023-11-20,V0031,E0028,Marketing,Spare Parts,open_tender,6515.53,4,25000,INV00001,2023-12-27,2024-02-07
T00002,PO00002,2025-11-17,V0120,E0052,Production,Security Services,limited_tender,6756.52,2,100000,INV00002,2025-12-12,2026-01-25
T00003,PO00003,2025-09-21,V0033,E0054,Logistics,Software Licenses,single_source,21601.65,1,25000,INV00003,2025-10-19,2025-12-09
T00004,PO00004,2024-09-10,V0068,E0017,IT,Software Licenses,open_tender,27000.0,5,25000,INV00004,2024-10-17,2024-12-01
T00005,PO00005,2024-02-10,V0251,E0036,Marketing,Software Licenses,open_tender,11498.48,3,25000,INV00005,2024-03-10,2024-03-22
T00006,PO00006,2023-09-14,V0293,E0028,Marketing,Cleaning Services,open_tender,6912.46,6,25000,INV00006,2023-09-22,2023-10-24
T00007,PO00007,2024-10-19,V0040,E0041,Admin,Transport,limited_tender,10380.39,3,100000,INV00007,2024-11-02,2024-12-02
T00008,PO00008,2024-11-25,V0179,E0008,Marketing,Raw Materials,limited_tender,16145.22,2,25000,INV00008,2024-12-31,2025-01-16
T00009,PO00009,2024-08-29,V0163,E0042,IT,Spare Parts,open_tender,3670.99,6,500000,INV00009,2024-10-02,2024-10-13
T00010,PO00010,2023-11-29,V0272,E0046,R&D,Construction,open_tender,110000.0,6,25000,INV00010,2023-12-13,2024-01-18
T00011,PO00011,2025-06-19,V0016,E0057,Production,Hardware,limited_tender,4430.53,2,100000,INV00011,2025-07-07,2025-07-28
T00012,PO00012,2024-11-20,V0250,E0006,IT,Consulting Services,limited_tender,111604.88,3,500000,INV00012,2024-12-13,2025-02-06
T00013,PO00013,2024-02-27,V0052,E0002,Maintenance,Consulting Services,open_tender,25162.55,3,100000,INV00013,2024-03-10,2024-04-24
T00014,PO00014,2025-07-15,V0126,E0038,Production,Office Supplies,single_source,2765.27,1,100000,INV00014,2025-07-30,2025-09-01
T00015,PO00015,2026-04-01,V0292,E0037,IT,Software Licenses,limited_tender,44444.86,3,500000,INV00015,2026-04-19,2026-05-11
T00016,PO00016,2024-03-12,V0082,E0007,IT,Construction,single_source,92000.0,1,100000,INV00016,2024-04-22,2024-05-27
T00017,PO00017,2024-09-16,V0110,E0045,IT,Transport,open_tender,4246.0,7,25000,INV00017,2024-10-16,2024-11-19
T00018,PO00018,2023-11-08,V0142,E0019,IT,Hardware,open_tender,28000.0,3,500000,INV00018,2023-12-21,2024-01-03
T00019,PO00019,2024-01-06,V0239,E0011,R&D,Transport,limited_tender,26001.64,2,500000,INV00019,2024-02-08,2024-03-25
T00020,PO00020,2025-12-21,V0050,E0021,Production,Construction,open_tender,181713.0,3,500000,INV00020,2026-01-01,2026-02-08
