vendor_id,vendor_name,tax_id,bank_account,address,phone,registration_date,primary_category,is_ghost
V0000,Meridian Enterprises & Co,4949905-4,PK86TMCB72763122614,"81 Ferozepur Road, Faisalabad",+92-397-7850256,2021-06-16,Spare Parts,False
V0001,Vertex Industrial Group,5053472-5,PK43TMCB93408848995,"312 Multan Rd, Islamabad",+92-385-4990727,2019-01-20,Consulting Services,False
V0002,Meridian Logistics Corp,1574355-8,PK83TMCB66849795920,"66 Davis Road, Multan",+92-330-9736281,2019-01-04,Cleaning Services,False
V0003,Riverstone Enterprises Group,2751748-3,PK51TMCB13942338920,"219 Ferozepur Road, Multan",+92-369-7702858,2018-04-20,Security Services,False
V0004,Silverline Supplies Corp,4334136-0,PK51TMCB27052422317,"185 Ferozepur Road, Multan",+92-343-3042183,2020-01-30,Construction,False
V0005,Cedarpoint Engineering Pvt Ltd,8494102-6,PK72TMCB38112997724,"307 Davis Road, Islamabad",+92-388-4487305,2023-01-31,Consulting Services,False
V0006,Ironwood Solutions & Co,2257772-8,PK27TMCB10662604277,"318 Davis Road, Multan",+92-364-7346487,2017-06-29,Spare Parts,False
V0007,Cobalt Engineering Inc,6118670-0,PK22TMCB20307706618,"176 Shahrah-e-Quaid, Faisalabad",+92-348-6087124,2015-09-18,Spare Parts,False
V0008,Cobalt Solutions Inc,5982214-0,PK59TMCB37355508825,"241 Mall Road, Islamabad",+92-349-2931261,2017-06-28,Office Supplies,False
V0009,Halcyon Systems Ltd,3105455-8,PK15TMCB35324550281,"367 Canal Bank Rd, Islamabad",+92-361-6013288,2019-07-18,Spare Parts,False
V0010,Halcyon Solutions LLC,4657481-4,PK82TMCB25027562791,"134 Mall Road, Lahore",+92-307-7501233,2021-04-09,Office Supplies,False
V0011,Riverstone Industrial Corp,5509402-9,PK23TMCB72668833756,"198 Model Town Link, Lahore",+92-332-3713608,2021-02-25,Construction,False
V0012,Cobalt Supplies Corp,1788849-3,PK20TMCB96570789808,"147 Empress Road, Islamabad",+92-364-3392829,2021-11-17,Security Services,False
V0013,Ironwood Enterprises Pvt Ltd,7452010-7,PK49TMCB34501740565,"32 Ferozepur Road, Islamabad",+92-391-5101986,2021-05-03,Consulting Services,False
